time,close,open,low,high,volumeBTC,volumeUSD
2010-07-17,0.04951,0.04951,0.04951,0.04951,0.9902,20.0
2010-07-18,0.08584,0.04951,0.05941,0.08585,5.092,75.01
2010-07-19,0.0808,0.08584,0.07723,0.09307,49.66,574.0
2010-07-20,0.07474,0.0808,0.07426,0.08181,20.59,262.0
2010-07-21,0.07921,0.07474,0.06634,0.07921,42.26,575.0
2010-07-22,0.0505,0.07921,0.0505,0.08181,129.78,2160.0
2010-07-23,0.06262,0.0505,0.0505,0.06767,141.07,2402.5
2010-07-24,0.05454,0.06262,0.05049,0.06161,26.73,496.32
2010-07-25,0.0505,0.05454,0.0505,0.05941,85.06,1551.48
2010-07-26,0.056,0.0505,0.05,0.056,46.91,877.0
2010-07-27,0.06,0.056,0.053,0.0605,196.92,3373.69
2010-07-28,0.0589,0.06,0.054,0.062,255.76,4390.29
2010-07-29,0.0699,0.0589,0.0571,0.0699,528.32,8058.49
2010-07-30,0.0627,0.0699,0.0582,0.0698,198.53,3020.85
2010-07-31,0.06785,0.0627,0.056,0.06889,243.9,4022.25
2010-08-01,0.0611,0.06785,0.06,0.065,162.65,2601.0
2010-08-02,0.06,0.0611,0.06,0.0633,221.2,3599.0
2010-08-03,0.06,0.06,0.059,0.065,606.05,9821.46
2010-08-04,0.057,0.06,0.057,0.06231,210.77,3494.0
2010-08-05,0.061,0.057,0.058,0.061,303.61,5034.07
2010-08-06,0.0623,0.061,0.0607,0.0624,85.91,1395.0
2010-08-07,0.059,0.0623,0.059,0.0622,157.34,2619.0
2010-08-08,0.0609,0.059,0.059,0.061,132.6,2201.0
2010-08-09,0.071,0.0609,0.0593,0.0735,886.93,13631.09
2010-08-10,0.07,0.071,0.06651,0.0709,88.87,1310.39
2010-08-11,0.067,0.07,0.06,0.07541,1015.64,14061.18
2010-08-12,0.07,0.067,0.06141,0.07,134.49,2062.31
2010-08-13,0.0645,0.07,0.0645,0.068,233.8,3591.77
2010-08-14,0.067,0.0645,0.0645,0.0695,295.31,4404.2
2010-08-15,0.06529,0.067,0.065,0.067,294.95,4462.87
2010-08-16,0.0655,0.06529,0.062,0.0679,696.8,10731.47
2010-08-17,0.07,0.0655,0.06243,0.0769,915.0,13185.74
2010-08-18,0.068,0.07,0.067,0.0733,203.83,2953.98
2010-08-19,0.0667,0.068,0.0667,0.0679,50.04,741.12
2010-08-20,0.0655,0.0667,0.065,0.0667,276.41,4199.75
2010-08-21,0.0664,0.0655,0.0644,0.0669,688.51,10443.86
2010-08-22,0.066,0.0664,0.0612,0.0664,1183.64,18648.97
2010-08-23,0.06491,0.066,0.063,0.06689,281.88,4297.49
2010-08-24,0.065,0.06491,0.06491,0.0665,444.66,6711.76
2010-08-25,0.0648,0.065,0.0641,0.0665,278.86,4228.88
2010-08-26,0.064,0.0648,0.064,0.0658,251.56,3870.01
2010-08-27,0.065,0.064,0.063,0.065,583.71,9009.97
2010-08-28,0.0641,0.065,0.0641,0.065,399.45,6174.01
2010-08-29,0.064,0.0641,0.064,0.0648,204.88,3173.4
2010-08-30,0.06497,0.064,0.03211,0.069,2135.0,34193.14
2010-08-31,0.06,0.06497,0.06,0.0649,933.23,14886.91
2010-09-01,0.0629,0.06,0.05961,0.0629,436.73,7164.72
2010-09-02,0.0634,0.0629,0.0601,0.0634,498.98,8150.73
2010-09-03,0.06085,0.0634,0.06085,0.063,54.61,892.0
2010-09-04,0.06238,0.06085,0.0612,0.06238,202.27,3301.0
2010-09-05,0.0616,0.06238,0.0605,0.064,527.97,8459.24
2010-09-06,0.0616,0.0616,0.0616,0.0627,56.13,910.0
2010-09-07,0.061,0.0616,0.0603,0.06201,212.35,3457.19
2010-09-08,0.062,0.061,0.06099,0.062,143.36,2345.41
2010-09-09,0.06111,0.062,0.06109,0.0624,107.68,1733.5
2010-09-10,0.0618,0.06111,0.06014,0.0618,301.8,4939.79
2010-09-11,0.06366,0.0618,0.0619,0.065,491.19,7749.14
2010-09-12,0.0615,0.06366,0.0615,0.0621,48.99,793.88
2010-09-13,0.06219,0.0615,0.0607,0.064,632.2,10076.34
2010-09-14,0.06199,0.06219,0.061,0.175,876.76,14014.81
2010-09-15,0.0604,0.06199,0.0604,0.0625,223.27,3651.85
2010-09-16,0.0619,0.0604,0.0618,0.0619,45.17,730.0
2010-09-17,0.059,0.0619,0.059,0.0609,438.94,7262.0
2010-09-18,0.061,0.059,0.05761,0.061,427.76,7092.61
2010-09-19,0.0627,0.061,0.06,0.0627,797.36,12852.17
2010-09-20,0.0621,0.0627,0.062,0.0634,891.19,14307.94
2010-09-21,0.06265,0.0621,0.0623,0.0633,359.82,5735.95
2010-09-22,0.0622,0.06265,0.06147,0.0624,717.33,11560.4
2010-09-23,0.06231,0.0622,0.0615,0.063,970.09,15505.33
2010-09-24,0.0622,0.06231,0.06209,0.0624,42.66,684.38
2010-09-25,0.06202,0.0622,0.0617,0.0624,133.05,2152.5
2010-09-26,0.062,0.06202,0.06186,0.06228,748.2,12058.13
2010-09-27,0.0622,0.062,0.0619,0.06228,668.53,10752.25
2010-09-28,0.0619,0.0622,0.0617,0.06271,439.05,7086.15
2010-09-29,0.06191,0.0619,0.0615,0.062,1450.79,23475.64
2010-09-30,0.0619,0.06191,0.06155,0.0619,488.15,7917.03
2010-10-01,0.06197,0.0619,0.06189,0.062,106.46,1717.45
2010-10-02,0.0614,0.06197,0.06125,0.06191,802.52,13059.74
2010-10-03,0.06111,0.0614,0.061,0.0614,439.88,7172.63
2010-10-04,0.0613,0.06111,0.06081,0.062,2079.89,33995.37
2010-10-05,0.0614,0.0613,0.0609,0.06301,1699.2,27526.61
2010-10-06,0.06281,0.0614,0.0612,0.0635,2091.28,33433.3
2010-10-07,0.067,0.06281,0.0628,0.067,2812.79,43692.98
2010-10-08,0.08685,0.067,0.01,0.088,10784.23,139287.29
2010-10-09,0.0938,0.08685,0.068,0.12,16104.87,187846.95
2010-10-10,0.0965,0.0938,0.07999,0.1301,4889.35,50684.19
2010-10-11,0.095,0.0965,0.091,0.103,1395.23,14092.91
2010-10-12,0.0949,0.095,0.082,0.099,2396.82,25660.75
2010-10-13,0.105,0.0949,0.092,0.105,4558.52,47557.27
2010-10-14,0.102,0.105,0.065,0.1045,3701.65,37217.28
2010-10-15,0.105,0.102,0.092,0.119,2554.91,24643.33
2010-10-16,0.101,0.105,0.1,0.103,633.63,6284.71
2010-10-17,0.102,0.101,0.1,0.1045,1857.8,18222.19
2010-10-18,0.1024,0.102,0.097,0.103,2591.64,25665.09
2010-10-19,0.097,0.1024,0.097,0.1019,623.34,6235.1
2010-10-20,0.099,0.097,0.094,0.103,3221.08,31855.0
2010-10-21,0.107,0.099,0.097,0.109,4616.85,44867.0
2010-10-22,0.1025,0.107,0.1015,0.109,3665.43,34603.91
2010-10-23,0.1055,0.1025,0.1045,0.109,481.52,4423.47
2010-10-24,0.115,0.1055,0.108,0.19,1560.61,13800.23
2010-10-25,0.132,0.115,0.09009,0.19,4450.0,30299.64
2010-10-26,0.1503,0.132,0.133,0.18,2995.09,19219.13
2010-10-27,0.1877,0.1503,0.151,0.19,11594.02,65605.87
2010-10-28,0.1731,0.1877,0.1731,0.191,4009.67,21525.04
2010-10-29,0.19,0.1731,0.173,0.19,5380.49,28686.85
2010-10-30,0.1989,0.19,0.1875,0.199,5112.03,26708.94
2010-10-31,0.1925,0.1989,0.171,0.1989,7829.46,40337.76
2010-11-01,0.1955,0.1925,0.172,0.1955,4049.75,21258.61
2010-11-02,0.1938,0.1955,0.1905,0.195,1121.34,5853.39
2010-11-03,0.1931,0.1938,0.125,0.275,11769.61,61472.63
2010-11-04,0.23,0.1931,0.1934,0.236,6229.16,29698.43
2010-11-05,0.26,0.23,0.2101,0.2639,8757.15,36622.07
2010-11-06,0.39,0.26,0.2402,0.5,9396.96,32756.13
2010-11-07,0.34,0.39,0.286,0.47,27937.74,77218.72
2010-11-08,0.243,0.34,0.2261,0.37,38339.26,118203.83
2010-11-09,0.21,0.243,0.199,0.323,12808.3,47983.39
2010-11-10,0.24,0.21,0.14,0.24,6110.13,30387.03
2010-11-11,0.2231,0.24,0.21,0.24,1111.55,5031.88
2010-11-12,0.2682,0.2231,0.223,0.29,10494.46,40720.39
2010-11-13,0.276,0.2682,0.2683,0.3,6351.58,21915.57
2010-11-14,0.279,0.276,0.2702,0.299,4793.81,16844.33
2010-11-15,0.2682,0.279,0.2682,0.2828,2337.5,8507.74
2010-11-16,0.223,0.2682,0.223,0.275,8609.67,33931.01
2010-11-17,0.2299,0.223,0.2116,0.29,8662.61,32871.6
2010-11-18,0.2678,0.2299,0.2221,0.283,10253.27,37446.67
2010-11-19,0.28,0.2678,0.2682,0.28,583.45,2157.56
2010-11-20,0.283,0.28,0.2682,0.29,4119.07,14652.69
2010-11-21,0.2767,0.283,0.2763,0.282,212.67,765.0
2010-11-22,0.2879,0.2767,0.269,0.2879,7818.64,28205.85
2010-11-23,0.2829,0.2879,0.276,0.2845,1361.82,4856.92
2010-11-24,0.283,0.2829,0.2761,0.283,710.24,2514.91
2010-11-25,0.28,0.283,0.278,0.2825,469.99,1679.6
2010-11-26,0.2844,0.28,0.2761,0.289,9510.98,33531.88
2010-11-27,0.283,0.2844,0.2826,0.2844,515.9,1825.39
2010-11-28,0.27,0.283,0.27,0.2846,5746.3,20802.13
2010-11-29,0.2299,0.27,0.2151,0.279,8802.06,35055.4
2010-11-30,0.2082,0.2299,0.204,0.2299,4570.58,21476.25
2010-12-01,0.2275,0.2082,0.2095,0.2299,1752.72,8157.89
2010-12-02,0.255,0.2275,0.218,0.2553,4800.55,20312.23
2010-12-03,0.251,0.255,0.243,0.2552,633.78,2570.34
2010-12-04,0.205,0.251,0.205,0.2589,6673.4,28560.72
2010-12-05,0.19,0.205,0.19,0.235,1178.03,5740.18
2010-12-06,0.204,0.19,0.1841,0.225,863.02,4319.26
2010-12-07,0.233,0.204,0.1701,0.2477,5411.8,24592.92
2010-12-08,0.2388,0.233,0.22,0.24,789.86,3430.41
2010-12-09,0.2,0.2388,0.1701,0.233,4411.94,21336.33
2010-12-10,0.204,0.2,0.1825,0.204,328.17,1684.25
2010-12-11,0.228,0.204,0.1907,0.228,1267.2,5788.69
2010-12-12,0.22,0.228,0.2068,0.2279,418.8,1963.56
2010-12-13,0.2299,0.22,0.21,0.23,1425.92,6415.59
2010-12-14,0.2467,0.2299,0.21,0.2468,2403.83,10388.1
2010-12-15,0.238,0.2467,0.238,0.246,901.15,3684.68
2010-12-16,0.25,0.238,0.2222,0.255,3522.62,14355.33
2010-12-17,0.24,0.25,0.24,0.249,130.19,525.51
2010-12-18,0.241,0.24,0.241,0.2488,41.67,169.11
2010-12-19,0.2401,0.241,0.24,0.2499,487.49,2000.76
2010-12-20,0.267,0.2401,0.24,0.275,2769.88,10682.71
2010-12-21,0.24,0.267,0.24,0.267,2291.81,9225.79
2010-12-22,0.25,0.24,0.244,0.25,949.38,3800.46
2010-12-23,0.25,0.25,0.241,0.25,2160.74,8650.15
2010-12-24,0.248,0.25,0.242,0.25,1252.05,5033.25
2010-12-25,0.2499,0.248,0.2475,0.25,175.44,703.0
2010-12-26,0.265,0.2499,0.2464,0.27,4203.03,16584.97
2010-12-27,0.265,0.265,0.251,0.27,1270.15,4935.49
2010-12-28,0.281,0.265,0.2612,0.281,4238.98,15438.71
2010-12-29,0.3,0.281,0.271,0.301,5363.75,18609.14
2010-12-30,0.3,0.3,0.291,0.3,759.92,2539.87
2010-12-31,0.3,0.3,0.292,0.3,428.44,1453.72
2011-01-01,0.3,0.3,0.292,0.3,841.95,2821.24
2011-01-02,0.3,0.3,0.289,0.3,1584.66,5352.11
2011-01-03,0.295,0.3,0.29,0.2999,420.85,1425.19
2011-01-04,0.2989,0.295,0.289,0.2999,548.33,1879.0
2011-01-05,0.299,0.2989,0.29,0.299,106.19,357.16
2011-01-06,0.298,0.299,0.29,0.299,1031.28,3456.49
2011-01-07,0.32,0.298,0.2975,0.322,13152.15,42601.12
2011-01-08,0.3229,0.32,0.309,0.3229,512.04,1629.44
2011-01-09,0.323,0.3229,0.3229,0.323,546.18,1691.37
2011-01-10,0.3266,0.323,0.3175,0.329,3360.65,10355.83
2011-01-11,0.3266,0.3266,0.3176,0.3266,1578.66,4857.8
2011-01-12,0.3188,0.3266,0.318,0.3557,10508.17,31359.77
2011-01-13,0.3176,0.3188,0.3176,0.405,7147.03,20118.9
2011-01-14,0.4,0.3176,0.3176,0.45,10691.11,27130.96
2011-01-15,0.386,0.4,0.385,0.4,591.15,1515.66
2011-01-16,0.3868,0.386,0.386,0.4,1085.16,2778.71
2011-01-17,0.3495,0.3868,0.315,0.3868,6360.69,18241.15
2011-01-18,0.313,0.3495,0.305,0.3495,4950.51,15671.51
2011-01-19,0.313,0.313,0.305,0.313,2247.62,7291.63
2011-01-20,0.39,0.313,0.31,0.39,6900.05,19881.98
2011-01-21,0.4199,0.39,0.368,0.44,3351.62,8477.55
2011-01-22,0.4443,0.4199,0.39,0.4443,4513.91,10534.27
2011-01-23,0.4424,0.4443,0.42,0.4443,505.83,1148.4
2011-01-24,0.4199,0.4424,0.381,0.4424,4516.68,11061.94
2011-01-25,0.41,0.4199,0.4,0.425,901.25,2163.72
2011-01-26,0.417,0.41,0.3904,0.42,6315.95,15564.81
2011-01-27,0.4212,0.417,0.4085,0.45,12086.9,27708.2
2011-01-28,0.446,0.4212,0.4212,0.446,2301.77,5324.5
2011-01-29,0.439,0.446,0.43,0.445,643.63,1448.38
