time,close,open,low,high,volumeBTC,volumeUSD
17-07-10,0.04951,0.04951,0.04951,0.04951,0.9902,20
18-07-10,0.08584,0.04951,0.05941,0.08585,5.09,75.01
19-07-10,0.0808,0.08584,0.07723,0.09307,49.66,574
20-07-10,0.07474,0.0808,0.07426,0.08181,20.59,262
21-07-10,0.07921,0.07474,0.06634,0.07921,42.26,575
22-07-10,0.0505,0.07921,0.0505,0.08181,129.78,2160
23-07-10,0.06262,0.0505,0.0505,0.06767,141.07,2402.5
24-07-10,0.05454,0.06262,0.05049,0.06161,26.73,496.32
25-07-10,0.0505,0.05454,0.0505,0.05941,85.06,1551.48
26-07-10,0.056,0.0505,0.05,0.056,46.91,877
27-07-10,0.06,0.056,0.053,0.0605,196.92,3373.69
28-07-10,0.0589,0.06,0.054,0.062,255.76,4390.29
29-07-10,0.0699,0.0589,0.0571,0.0699,528.32,8058.49
30-07-10,0.0627,0.0699,0.0582,0.0698,198.53,3020.85
31-07-10,0.06785,0.0627,0.056,0.06889,243.9,4022.25
01-08-10,0.0611,0.06785,0.06,0.065,162.65,2601
02-08-10,0.06,0.0611,0.06,0.0633,221.2,3599
03-08-10,0.06,0.06,0.059,0.065,606.05,9821.46
04-08-10,0.057,0.06,0.057,0.06231,210.77,3494
05-08-10,0.061,0.057,0.058,0.061,303.61,5034.07
06-08-10,0.0623,0.061,0.0607,0.0624,85.91,1395
07-08-10,0.059,0.0623,0.059,0.0622,157.34,2619
08-08-10,0.0609,0.059,0.059,0.061,132.6,2201
09-08-10,0.071,0.0609,0.0593,0.0735,886.93,13631.09
10-08-10,0.07,0.071,0.06651,0.0709,88.87,1310.39
11-08-10,0.067,0.07,0.06,0.07541,1015.64,14061.18
12-08-10,0.07,0.067,0.06141,0.07,134.49,2062.31
13-08-10,0.0645,0.07,0.0645,0.068,233.8,3591.77
14-08-10,0.067,0.0645,0.0645,0.0695,295.31,4404.2
15-08-10,0.06529,0.067,0.065,0.067,294.95,4462.87
16-08-10,0.0655,0.06529,0.062,0.0679,696.8,10731.47
17-08-10,0.07,0.0655,0.06243,0.0769,915,13185.74
18-08-10,0.068,0.07,0.067,0.0733,203.83,2953.98
19-08-10,0.0667,0.068,0.0667,0.0679,50.04,741.12
20-08-10,0.0655,0.0667,0.065,0.0667,276.41,4199.75
21-08-10,0.0664,0.0655,0.0644,0.0669,688.51,10443.86
22-08-10,0.066,0.0664,0.0612,0.0664,1183.64,18648.97
23-08-10,0.06491,0.066,0.063,0.06689,281.88,4297.49
24-08-10,0.065,0.06491,0.06491,0.0665,444.66,6711.76
25-08-10,0.0648,0.065,0.0641,0.0665,278.86,4228.88
26-08-10,0.064,0.0648,0.064,0.0658,251.56,3870.01
27-08-10,0.065,0.064,0.063,0.065,583.71,9009.97
28-08-10,0.0641,0.065,0.0641,0.065,399.45,6174.01
29-08-10,0.064,0.0641,0.064,0.0648,204.88,3173.4
30-08-10,0.06497,0.064,0.03211,0.069,2135,34193.14
31-08-10,0.06,0.06497,0.06,0.0649,933.23,14886.91
01-09-10,0.0629,0.06,0.05961,0.0629,436.73,7164.72
02-09-10,0.0634,0.0629,0.0601,0.0634,498.98,8150.73
03-09-10,0.06085,0.0634,0.06085,0.063,54.61,892
04-09-10,0.06238,0.06085,0.0612,0.06238,202.27,3301
05-09-10,0.0616,0.06238,0.0605,0.064,527.97,8459.24
06-09-10,0.0616,0.0616,0.0616,0.0627,56.13,910
07-09-10,0.061,0.0616,0.0603,0.06201,212.35,3457.19
08-09-10,0.062,0.061,0.06099,0.062,143.36,2345.41
09-09-10,0.06111,0.062,0.06109,0.0624,107.68,1733.5
10-09-10,0.0618,0.06111,0.06014,0.0618,301.8,4939.79
11-09-10,0.06366,0.0618,0.0619,0.065,491.19,7749.14
12-09-10,0.0615,0.06366,0.0615,0.0621,48.99,793.88
13-09-10,0.06219,0.0615,0.0607,0.064,632.2,10076.34
14-09-10,0.06199,0.06219,0.061,0.175,876.76,14014.81
15-09-10,0.0604,0.06199,0.0604,0.0625,223.27,3651.85
16-09-10,0.0619,0.0604,0.0618,0.0619,45.17,730
17-09-10,0.059,0.0619,0.059,0.0609,438.94,7262
18-09-10,0.061,0.059,0.05761,0.061,427.76,7092.61
19-09-10,0.0627,0.061,0.06,0.0627,797.36,12852.17
20-09-10,0.0621,0.0627,0.062,0.0634,891.19,14307.94
21-09-10,0.06265,0.0621,0.0623,0.0633,359.82,5735.95
22-09-10,0.0622,0.06265,0.06147,0.0624,717.33,11560.4
23-09-10,0.06231,0.0622,0.0615,0.063,970.09,15505.33
24-09-10,0.0622,0.06231,0.06209,0.0624,42.66,684.38
25-09-10,0.06202,0.0622,0.0617,0.0624,133.05,2152.5
26-09-10,0.062,0.06202,0.06186,0.06228,748.2,12058.13
27-09-10,0.0622,0.062,0.0619,0.06228,668.53,10752.25
28-09-10,0.0619,0.0622,0.0617,0.06271,439.05,7086.15
29-09-10,0.06191,0.0619,0.0615,0.062,1450.79,23475.64
30-09-10,0.0619,0.06191,0.06155,0.0619,488.15,7917.03
01-10-10,0.06197,0.0619,0.06189,0.062,106.46,1717.45
02-10-10,0.0614,0.06197,0.06125,0.06191,802.52,13059.74
03-10-10,0.06111,0.0614,0.061,0.0614,439.88,7172.63
04-10-10,0.0613,0.06111,0.06081,0.062,2079.89,33995.37
05-10-10,0.0614,0.0613,0.0609,0.06301,1699.2,27526.61
06-10-10,0.06281,0.0614,0.0612,0.0635,2091.28,33433.3
07-10-10,0.067,0.06281,0.0628,0.067,2812.79,43692.98
08-10-10,0.08685,0.067,0.01,0.088,10784.23,139287.29
09-10-10,0.0938,0.08685,0.068,0.12,16104.87,187846.95
10-10-10,0.0965,0.0938,0.07999,0.1301,4889.35,50684.19
11-10-10,0.095,0.0965,0.091,0.103,1395.23,14092.91
12-10-10,0.0949,0.095,0.082,0.099,2396.82,25660.75
13-10-10,0.105,0.0949,0.092,0.105,4558.52,47557.27
14-10-10,0.102,0.105,0.065,0.1045,3701.65,37217.28
15-10-10,0.105,0.102,0.092,0.119,2554.91,24643.33
16-10-10,0.101,0.105,0.1,0.103,633.63,6284.71
17-10-10,0.102,0.101,0.1,0.1045,1857.8,18222.19
18-10-10,0.1024,0.102,0.097,0.103,2591.64,25665.09
19-10-10,0.097,0.1024,0.097,0.1019,623.34,6235.1
20-10-10,0.099,0.097,0.094,0.103,3221.08,31855
21-10-10,0.107,0.099,0.097,0.109,4616.85,44867
22-10-10,0.1025,0.107,0.1015,0.109,3665.43,34603.91
23-10-10,0.1055,0.1025,0.1045,0.109,481.52,4423.47
24-10-10,0.115,0.1055,0.108,0.19,1560.61,13800.23
25-10-10,0.132,0.115,0.09009,0.19,4450,30299.64
26-10-10,0.1503,0.132,0.133,0.18,2995.09,19219.13
27-10-10,0.1877,0.1503,0.151,0.19,11594.02,65605.87
28-10-10,0.1731,0.1877,0.1731,0.191,4009.67,21525.04
29-10-10,0.19,0.1731,0.173,0.19,5380.49,28686.85
30-10-10,0.1989,0.19,0.1875,0.199,5112.03,26708.94
31-10-10,0.1925,0.1989,0.171,0.1989,7829.46,40337.76
01-11-10,0.1955,0.1925,0.172,0.1955,4049.75,21258.61
02-11-10,0.1938,0.1955,0.1905,0.195,1121.34,5853.39
03-11-10,0.1931,0.1938,0.125,0.275,11769.61,61472.63
04-11-10,0.23,0.1931,0.1934,0.236,6229.16,29698.43
05-11-10,0.26,0.23,0.2101,0.2639,8757.15,36622.07
06-11-10,0.39,0.26,0.2402,0.5,9396.96,32756.13
07-11-10,0.34,0.39,0.286,0.47,27937.74,77218.72
08-11-10,0.243,0.34,0.2261,0.37,38339.26,118203.83
09-11-10,0.21,0.243,0.199,0.323,12808.3,47983.39
